u,g,r,i,z,cluster
19.57528,17.56889,16.40743,15.94394,15.57496,0
22.79484,22.56362,21.05509,20.03798,19.63489,1
23.20434,21.05606,19.29099,18.65602,18.19731,2
22.23248,21.69581,20.74772,19.98743,19.63351,1
21.09597,20.09328,19.99827,19.85312,19.70394,2
17.56995,16.45897,16.08529,15.96873,15.9512,0
22.90951,22.60206,21.56881,20.75868,20.75785,1
25.67322,21.66183,20.41267,19.65271,19.24842,1
18.11653,16.75653,16.10716,15.75005,15.53818,0
20.61886,20.67607,20.33998,20.27125,20.2493,2
25.05061,21.89904,20.055,19.24923,18.85491,2
21.49573,21.5472,21.44501,21.35645,22.00817,1
22.31459,19.2655,17.89266,17.29157,16.73748,0
19.44901,17.44716,16.67371,16.40801,16.25708,0
17.54541,16.57003,16.20675,16.05181,16.00283,0
20.94062,20.23496,20.23158,20.1995,20.18196,2
23.35765,22.12856,20.61111,19.71217,19.2516,1
23.56758,21.208,20.75161,20.6441,20.39392,1
22.22602,20.43497,18.76988,18.20236,17.73508,2
24.21019,22.32071,20.6328,19.76139,19.2664,1
17.25999,16.47814,16.1215,15.99419,15.7937,0
25.39885,21.95695,20.21588,19.30345,18.75286,1
22.73852,21.92021,20.25492,19.2384,18.86074,2
19.26495,17.27695,16.32269,15.91437,15.5836,0
20.82643,19.23802,18.63671,18.36927,18.35005,2
24.46358,22.19291,20.24031,19.31393,18.69927,2
18.75638,17.47413,16.8291,16.45995,16.22252,0
19.45923,18.53325,18.2338,18.08377,18.06206,0
17.51817,16.32951,15.81413,15.51106,15.31171,0
25.60896,22.34826,20.95323,20.54521,20.1713,1
23.14668,22.49037,20.59905,19.76633,19.05284,1
26.74559,22.5499,21.40524,20.24159,19.56751,1
21.38251,19.28646,17.88512,16.53132,15.74672,0
23.33049,22.63498,20.85496,20.00389,19.48537,1
21.94865,21.19444,21.27015,21.15298,21.68629,1
21.56501,21.66333,20.02162,19.23263,18.74574,2
21.75589,21.82895,21.76212,21.34503,20.83995,1
21.03257,20.73323,21.16883,21.16602,20.05006,1
22.67889,22.34414,21.81915,20.96011,20.53935,1
23.48265,22.25286,20.58105,19.63985,19.27566,1
22.02882,20.13368,19.38745,19.20373,19.578,2
21.88248,21.50872,21.60827,21.39096,21.20901,1
23.93604,21.86364,20.45329,19.61347,19.28544,1
25.41945,20.59465,18.90101,18.10121,17.64939,2
22.9569,21.85399,20.36605,19.48866,19.03306,2
22.31396,21.80306,21.87099,22.05362,21.75727,1
26.67383,21.71403,20.22224,19.29866,18.86519,1
21.4886,21.04082,20.96465,20.76868,20.7145,1
18.44441,17.15821,17.2993,17.42946,17.57413,0
23.30121,21.63537,19.98461,19.00097,18.51637,2
22.0858,21.24192,20.18649,19.47538,19.47539,2
20.81719,19.8991,19.71712,19.6247,19.60122,2
19.38744,18.37505,17.63306,17.25172,17.00577,0
25.23301,23.06289,21.47411,19.34812,18.18965,1
21.45783,21.19079,20.75914,20.40097,19.92636,1
23.5902,21.20947,19.37614,18.74965,18.4028,2
23.63772,22.52424,20.93076,19.80886,19.49128,1
22.22513,21.39453,20.98247,20.81311,20.66042,1
23.87881,22.93215,22.07607,20.98906,19.58057,1
22.1147,21.47865,20.52882,19.71111,19.34169,2
22.0746,21.38644,19.53412,18.4603,17.93693,2
19.86703,18.00692,17.14918,16.73508,16.4109,0
25.31353,21.89314,20.19188,19.26097,18.74819,1
22.79702,21.6615,21.73644,21.65909,20.79006,1
23.26965,22.40417,20.96171,19.88236,19.44362,1
21.15562,21.28598,21.48089,21.04579,21.07132,1
19.61926,17.4537,16.35467,15.90895,15.53379,0
23.49263,21.77667,19.94176,19.01674,18.49334,2
23.70256,20.89004,20.10627,19.31977,21.0612,1
25.7656,22.12245,20.66125,19.79357,19.29825,1
19.7265,17.79099,16.8778,16.45943,16.12971,0
22.81544,21.6307,20.3605,19.62649,19.33347,2
19.19764,18.25931,18.11284,18.03928,18.039,0
23.65702,23.4207,20.39436,22.28045,21.2607,1
24.12488,23.96716,21.68911,20.10853,19.71347,1
23.00495,22.25762,20.34152,19.42322,18.90842,2
19.67554,18.27252,17.74659,17.56761,17.51954,0
23.08278,21.51981,20.48431,20.00147,19.87248,1
22.24095,19.82336,18.18625,17.5882,17.20755,2
22.35279,22.12647,21.67843,21.52227,21.27501,1
20.09624,17.73108,16.22258,14.69029,13.92412,0
20.20029,20.22838,19.78457,19.74064,19.61063,2
22.4558,22.54712,21.51315,20.71528,20.06447,1
22.54737,22.93542,22.21864,21.65114,22.58865,1
19.19192,17.9315,17.41359,17.15094,16.90799,0
22.13458,21.25513,21.22459,21.07055,21.08098,1
19.51083,19.2457,19.29613,19.08048,19.09261,2
22.38638,21.44625,19.62006,18.89443,18.63705,2
19.98372,17.859,16.75122,16.26663,15.89684,0
21.5208,20.3841,18.7732,18.03774,17.54845,2
19.52753,18.0822,17.44246,17.0295,16.76124,0
22.48144,22.0104,20.44882,19.2073,18.68627,2
24.47845,22.48696,20.8129,19.77422,19.36815,1
22.94049,22.23477,20.5795,19.4986,18.97244,2
25.63275,22.28242,20.55451,19.30482,18.97695,1
22.464,21.91114,21.80982,21.83537,21.90019,1
24.29426,22.43377,20.96583,19.85278,19.26568,1
23.72228,23.20022,22.56922,21.79693,21.38435,1
19.98223,19.64529,19.45033,19.24661,19.17389,2
17.58503,16.5179,16.24682,16.15323,16.20555,0
23.34794,22.45424,20.89098,19.91793,19.60464,1
23.00464,22.41405,20.8251,19.71284,19.10824,1
19.87617,19.79685,19.41254,19.16937,19.16147,2
26.04997,21.0623,20.45315,20.34455,20.00721,1
23.32294,22.20086,21.76163,21.77936,23.15424,1
19.48875,17.64059,16.76091,16.3422,16.01687,0
25.7989,22.72661,21.28655,20.05531,19.34571,1
21.98902,21.5718,21.49207,21.33028,21.0841,1
22.62371,23.03655,21.3561,20.10839,19.27459,1
24.31178,22.35471,20.60225,19.79166,19.28432,1
22.25316,19.68434,18.04582,17.45244,17.11491,2
22.14312,21.44979,21.17209,21.16969,20.72283,1
20.2313,18.41287,17.42535,16.91628,16.50938,0
20.13708,18.22145,17.21417,16.79003,16.46872,0
21.69701,20.65406,18.8835,18.28157,17.87031,2
20.24589,18.31451,17.12245,16.63931,16.27609,0
25.53452,23.24506,21.50775,20.27223,19.77686,1
17.42133,15.80045,15.10204,14.79837,14.6388,0
17.40986,16.24368,15.72119,15.50446,15.40493,0
22.45662,22.63175,21.90309,20.80619,19.77149,1
22.90065,21.44709,20.27751,19.49741,18.906,2
21.63025,18.94992,17.43493,16.87407,16.55672,0
23.44386,21.7354,20.40298,19.34937,18.92951,2
20.2741,19.39202,19.00093,18.83514,18.77646,2
24.96068,23.65212,21.99295,20.51493,20.01889,1
20.08341,18.07525,17.12441,16.67251,16.33864,0
20.21728,18.42185,17.45634,16.99027,16.67107,0
18.97278,17.93335,17.48447,17.21969,17.06321,0
22.56417,21.98863,21.58168,21.0571,20.89729,1
24.35615,22.4966,21.13162,20.27078,19.72885,1
18.29444,17.06211,16.46675,16.0737,15.85012,0
15.90888,15.2225,14.16876,14.82016,14.32903,0
26.32764,22.07693,20.06669,19.1126,18.58812,1
23.25874,22.27623,22.01536,22.01592,22.27552,1
19.95601,19.5014,19.53477,19.57298,19.50963,2
20.37191,18.19244,17.28402,16.87745,16.58251,0
25.44181,20.62753,18.94797,18.31375,17.94273,2
22.62743,22.20188,21.4758,21.49336,21.23252,1
19.64128,18.21354,17.2997,16.85591,16.47498,0
22.98026,21.45773,21.26156,21.15823,21.0138,1
20.63686,20.49536,20.305,20.16775,19.95069,2
24.40865,22.81953,21.7089,20.51027,19.98721,1
19.1381,17.39002,16.67233,16.43591,16.32872,0
21.42599,20.05865,19.38798,19.07072,18.85166,2
23.11669,22.59125,21.98513,21.08036,20.3952,1
19.29803,17.94595,17.45363,17.2777,17.19597,0
25.93113,22.46621,21.36385,20.16798,19.45054,1
20.16566,18.30062,17.36895,16.94196,16.62095,0
22.24364,20.92813,20.03807,19.2186,18.92031,2
21.24159,21.0423,20.67881,20.72342,20.54924,1
22.74392,21.14956,20.89213,20.76216,20.87015,1
21.83068,21.56645,21.42051,21.19357,21.10008,1
20.17505,20.15037,19.9345,19.91461,19.77195,2
22.2002,21.96841,21.9652,21.67002,22.11933,1
25.02085,21.96456,20.17944,19.26855,18.89702,1
22.47282,22.0905,21.07291,20.03851,19.43313,1
19.70691,19.64487,19.39199,19.23711,19.30606,2
24.17897,22.89025,21.26451,20.94941,19.875,1
22.18952,21.17381,20.45568,20.11105,19.73281,2
20.6306,19.66181,19.36659,19.29309,19.33282,2
22.83228,21.33601,19.42873,18.43209,18.00642,2
23.90307,21.94313,20.40394,19.5052,19.03276,1
25.72159,22.06471,20.78813,20.25328,20.40089,1
20.97975,20.70338,20.46182,20.01163,19.75943,2
19.3954,17.98269,17.43579,17.14744,17.05445,0
21.57802,20.3775,20.20964,20.05251,20.14305,2
18.24074,17.16724,16.79122,16.65118,16.59748,0
23.17325,23.30669,23.19276,21.98765,21.68925,1
18.11752,17.0197,16.64229,16.43102,16.40148,0
21.922,21.91656,21.6958,21.71835,21.88502,1
25.38357,21.98881,20.84798,19.67055,19.03626,1
20.59984,20.07912,19.62719,19.41539,19.24281,2
24.2513,22.60113,21.78418,20.94266,20.87268,1
24.65537,23.22017,21.86069,20.61301,19.91575,1
26.18737,20.80382,19.00411,18.2696,17.79324,2
22.48936,22.88938,21.93783,20.71843,19.67357,1
22.57228,22.94019,21.37852,20.30515,19.389,1
18.37185,16.64843,15.84245,15.43388,15.1679,0
23.42374,22.78743,22.10892,20.67885,19.88755,1
21.8848,19.65384,17.96317,17.35948,17.00386,0
25.22461,23.89227,21.91038,20.69045,19.81003,1
26.29621,23.75948,21.30736,20.24517,19.23857,1
23.20634,22.80099,22.29986,21.59016,21.77934,1
20.63426,20.28807,20.26386,20.18857,19.85187,2
19.15011,18.12868,17.78691,17.66102,17.61501,0
23.44899,22.07962,20.07577,19.23877,18.75405,2
23.79527,22.81985,21.06684,19.94781,19.42087,1
18.046,16.96218,16.64668,16.41526,16.28537,0
20.73783,20.73801,20.44964,20.42115,20.54819,2
23.51581,22.8974,20.86053,19.60625,19.22584,1
19.08422,18.06048,17.62202,17.35474,17.17257,0
25.93223,21.57711,20.25621,19.38229,18.99537,1
24.43979,22.01984,20.31865,19.50343,19.08322,1
20.56109,20.1347,19.9824,19.77465,19.69646,2
22.74093,23.08006,22.53263,21.86775,21.55319,1
22.36367,22.22019,20.09022,19.18714,18.83077,2
21.52878,19.93852,19.10967,18.7239,18.54781,2
21.3101,19.81189,18.03651,17.43028,17.06091,0
20.98971,20.34919,20.19872,19.9972,19.73956,2
21.36042,20.53904,19.43874,18.60692,18.10372,2
22.15464,21.74522,21.65731,21.86698,21.74151,1
22.67414,24.06276,21.85362,20.62905,19.85512,1
20.27475,18.13034,17.14252,16.58464,16.17681,0
22.0495,20.41123,19.66354,19.41339,19.2091,2
22.17257,20.28714,18.65645,18.04694,17.63178,2
23.62815,21.3363,19.51832,18.86022,18.5498,2
18.79098,18.36159,18.08188,17.82837,17.96411,0
21.5953,22.08942,20.14931,19.04151,18.48073,2
20.82966,20.29709,19.97198,19.66299,19.43523,2
21.76806,21.13958,21.05808,20.78353,20.54853,1
20.63264,18.59771,17.64299,17.21292,16.86575,0
22.12779,21.81764,21.31562,21.44015,21.47093,1
24.49761,19.73654,19.23183,19.19488,19.06087,2
20.10012,20.03636,19.77624,19.81778,19.8294,2
21.91909,21.2559,21.04834,21.10825,20.51588,1
23.66614,22.05282,21.87605,22.49212,22.10375,1
21.61944,21.19952,21.07888,20.95207,20.63955,1
18.80608,17.61295,17.22283,16.95569,16.73724,0
25.78287,22.72141,20.9091,19.85115,19.37782,1
26.10135,22.39629,20.57821,19.70674,19.19401,1
23.43533,22.41079,21.92916,21.01149,21.8651,1
20.59285,18.98791,17.91055,17.41611,16.99375,0
26.41263,23.65804,21.85092,20.69878,19.98471,1
20.26872,19.36518,19.17924,19.09955,19.08847,2
20.49852,20.21511,19.84712,19.77396,19.50325,2
24.18089,22.48781,21.08313,19.9863,19.5447,1
21.82366,20.8741,20.52491,20.38616,20.28672,1
24.68687,22.61233,21.08537,19.86013,19.34302,1
20.5725,20.09269,19.96077,19.89158,19.65175,2
24.9264,20.55021,19.26033,18.6332,18.22712,2
23.87183,23.71022,20.9948,19.8539,19.39707,1
21.5763,20.75843,18.82966,18.11112,17.70328,2
18.77499,17.48887,16.71772,16.31269,16.02707,0
21.69608,21.16871,20.88865,20.82523,20.49859,1
21.9874,20.455,18.77039,17.97835,17.4011,2
23.37222,21.72102,20.03285,19.05056,18.5148,2
21.85088,21.6427,20.13474,19.37386,19.30465,2
24.6035,24.56409,21.40909,20.2487,19.59114,1
22.72999,20.12386,18.34505,17.72172,17.27247,2
20.70175,18.7355,17.64277,17.14299,16.76006,0
21.37994,21.02958,20.95691,20.87512,20.47081,1
23.40389,22.41733,20.68614,19.76191,19.09249,1
19.92628,18.55006,17.79479,17.38527,17.11866,0
17.20555,16.06687,15.71037,15.57579,15.54438,0
22.08074,22.21751,21.69341,20.93658,20.70619,1
21.07731,19.14713,17.91271,17.39535,16.93731,0
23.20142,21.65676,20.38945,19.48816,18.9276,2
21.72928,21.53574,21.48312,20.97058,20.8316,1
20.07509,17.96874,16.98326,16.55579,16.20431,0
23.73323,21.45201,20.74011,20.53121,20.05886,1
21.67082,21.16415,20.46125,19.74303,19.32428,2
21.28571,19.63234,18.09427,17.53807,17.15918,0
19.38304,17.46926,16.54866,16.13475,15.82465,0
23.1906,23.13261,21.14888,19.98299,20.00324,1
21.95404,21.05102,21.04394,20.98403,21.07055,1
23.28125,22.04827,21.93286,21.94456,21.82046,1
22.32961,21.89431,21.73312,21.01897,20.31232,1
22.41232,21.9961,21.83443,21.59715,22.11779,1
26.51398,21.4959,20.07829,19.08353,18.70712,1
23.02883,23.36355,21.62231,20.28504,19.61435,1
24.62526,21.55199,19.96493,18.98115,18.69018,2
22.21156,19.47494,17.99139,16.92552,16.32903,0
22.05083,21.39341,21.29943,21.02431,21.60816,1
20.33733,20.1887,19.98408,19.92522,19.73638,2
18.99276,16.89857,15.77802,15.23035,14.90385,0
24.00735,24.29906,22.67474,19.88034,18.11211,1
19.91674,18.50518,17.75587,17.32278,17.06154,0
21.65297,20.9683,20.81787,20.7018,20.52261,1
22.22645,20.63357,19.89904,19.6224,19.4482,2
23.66891,21.76655,20.99316,20.22073,21.13133,1
24.01122,24.36187,21.83566,20.6793,19.6354,1
22.69643,22.61566,20.43237,19.18387,18.65671,2
23.57507,21.81,20.22061,19.40062,18.84428,2
19.38485,18.24013,17.87138,17.77453,17.72544,0
20.24962,18.23851,17.11286,16.64249,16.30083,0
25.94789,23.91712,21.85304,20.70457,19.90514,1
20.35205,19.38074,19.29012,19.30654,19.3009,2
24.07878,20.93132,19.55393,19.00076,18.68844,2
19.16892,17.24695,16.3117,15.90658,15.55801,0
24.9791,23.14558,21.47306,20.45635,19.7676,1
16.73303,15.18873,14.60444,14.39254,14.29791,0
21.25155,20.73013,20.55381,20.73764,20.68711,1
22.0803,21.41047,19.6981,18.85626,18.24474,2
23.72325,20.48652,18.82667,18.19914,17.75388,2
25.17463,20.91958,19.57114,18.98356,18.63504,2
17.43939,15.84245,14.98746,14.56937,14.22735,0
25.1093,21.13836,19.8287,19.06776,18.66838,2
24.91371,22.39458,20.98015,19.92607,19.50837,1
24.20161,22.52679,21.62947,20.8977,20.16442,1
22.73755,21.47231,21.23474,23.09657,21.47474,1
23.51652,23.41557,22.25134,21.87517,22.23573,1
24.95301,22.64989,20.98837,20.0299,19.60647,1
23.04962,20.23897,18.68095,18.05183,17.63618,2
19.52304,19.23845,19.3241,19.13812,19.15765,2
20.61612,20.5363,20.3066,20.26797,20.14553,2
22.70527,21.9289,20.55984,19.50674,19.05075,2
20.95547,19.58602,18.93393,18.67075,18.5503,2
21.58937,19.84576,18.35393,17.7996,17.4298,2
21.25094,21.27111,21.02823,21.03053,20.97461,1
22.55745,20.98277,20.43052,20.24787,20.06397,1
23.67725,23.23425,21.63722,20.62573,19.92597,1
23.70008,21.54049,21.147,21.16336,21.14408,1
22.36125,22.05636,21.83155,21.67337,21.6565,1
25.17598,23.4751,21.59207,20.36279,19.64771,1
26.97546,22.41226,20.7856,19.50437,18.87636,1
19.69794,18.49107,17.91227,17.51917,17.31267,0
21.52518,21.21724,21.11796,21.00678,20.56569,1
18.87353,17.92834,17.6319,17.51104,17.44155,0
23.68491,23.04963,21.9711,21.54713,20.65114,1
20.68049,19.32469,19.02095,18.91563,18.89348,2
27.04707,21.59082,19.61717,18.82457,18.3213,2
21.71428,21.37351,21.18573,21.33654,20.78475,1
20.22142,19.69371,19.68246,19.63497,19.54935,2
23.92293,21.85658,20.31189,19.40567,18.68091,2
19.04116,17.37127,16.53251,16.05979,15.76728,0
22.96399,22.7554,22.09349,21.74355,21.22893,1
19.91014,18.07771,17.06931,16.61633,16.26941,0
19.20812,17.73763,17.08213,16.66553,16.46359,0
23.2138,20.79154,19.25359,18.39027,17.92134,2
23.12552,20.93904,20.55762,20.42735,20.24533,1
19.92054,18.61486,17.74373,17.30008,17.00809,0
20.60936,18.61738,17.61468,17.16143,16.83319,0
19.95967,18.0055,17.01357,16.56905,16.25727,0
18.01983,16.54403,15.89769,15.63642,15.49009,0
21.09797,21.15153,20.81991,20.76622,20.59647,1
23.01478,20.76732,19.24541,18.33474,17.81104,2
25.69559,21.91633,20.44191,19.61382,19.08581,1
25.11981,21.95108,20.62621,19.43445,18.91835,1
23.02977,22.66371,21.69923,20.54891,19.75644,1
20.19003,19.60587,19.44719,19.23969,19.22046,2
20.15892,18.60233,17.92981,17.66427,17.51384,0
19.2814,18.12504,17.54897,17.26759,17.10609,0
18.85415,17.6044,16.83645,16.42031,16.17545,0
24.69732,23.09122,20.96559,19.862,19.43184,1
21.49272,20.17628,18.98144,18.52569,18.10865,2
25.63226,24.98411,22.15186,20.93587,19.75398,1
23.78089,22.53116,22.01167,20.81348,19.74146,1
20.44005,18.54744,17.7615,17.4579,17.30101,0
21.7745,21.14443,21.08397,21.14017,20.92081,1
22.33754,20.91017,19.10749,18.42987,17.97326,2
19.77485,17.95764,17.44717,17.12153,16.94533,0
20.67533,20.07163,20.11107,20.04206,19.80754,2
23.10337,21.16388,20.30307,19.9556,19.81524,1
21.11494,19.11243,18.39872,18.14728,17.99685,2
21.56121,21.11477,20.64569,20.54447,20.1001,1
20.44304,18.63684,17.6803,17.30232,16.95405,0
22.57207,22.51998,22.42865,21.48775,21.20668,1
21.45345,20.63179,20.21949,20.12284,19.71342,2
17.71734,16.68137,16.24741,16.00779,15.7859,0
21.66939,20.98445,20.74042,20.84523,21.56255,1
22.81817,22.38432,20.84305,19.92917,19.43827,1
19.8745,18.09032,16.84483,16.3232,15.94867,0
22.39696,22.66846,22.01273,20.85694,19.41802,1
22.70304,20.81755,18.98909,18.34681,17.92583,2
24.45457,22.06026,20.76501,19.42943,18.78376,1
24.04112,20.09515,19.72919,19.61931,19.4261,2
22.32212,21.97795,20.40549,19.46736,18.80893,2
23.23101,22.8512,21.36546,20.94358,20.42494,1
18.95885,17.40458,16.61019,16.20828,15.90571,0
23.04566,22.96283,21.69837,20.56357,19.86604,1
26.17405,22.78971,21.15444,19.94267,19.50781,1
25.45283,23.01419,21.17838,19.87241,19.27981,1
24.07778,22.3393,20.23736,19.19028,18.7826,2
20.33442,18.98547,17.22948,17.71667,16.76079,0
19.5679,18.52495,17.80184,17.40439,17.20851,0
20.04704,18.01702,16.88884,16.40648,16.05651,0
18.46709,17.14771,16.53781,16.21232,16.03233,0
22.17202,20.76515,20.40948,20.17695,20.1502,1
22.25637,21.9766,20.13731,19.20876,18.73445,2
23.45177,22.29974,22.70392,21.95609,21.64264,1
25.73058,25.49526,22.04667,20.7219,19.77997,1
19.35172,17.48921,16.53237,16.11364,15.75817,0
18.77584,17.38995,16.82907,16.61862,16.55213,0
24.63466,22.24754,20.02165,19.83699,20.32596,1
26.48124,21.19572,19.39735,18.72069,18.31511,2
22.27808,21.73222,20.4409,19.56586,19.02661,2
23.10571,22.29116,20.9382,19.89153,19.26563,1
19.2098,18.04157,17.58683,17.27191,17.166,0
22.1859,21.82834,21.57006,21.37956,20.77714,1
25.0266,21.98237,21.88038,21.64015,22.13977,1
20.2505,19.66909,19.47472,19.45814,19.67187,2
22.21223,21.71764,21.30962,21.30334,20.91745,1
22.85563,21.01852,19.38354,18.59682,18.27265,2
21.58777,21.51071,20.9418,20.62432,20.53774,1
19.25415,18.93052,18.97562,19.08834,19.3284,2
22.74736,21.1601,20.53081,20.31132,20.13984,1
19.11896,17.23191,16.27985,15.85478,15.50594,0
19.18352,19.06185,19.10961,18.91828,18.96301,2
18.98028,17.00022,16.13737,15.71202,15.40228,0
22.38591,21.72879,21.04015,21.03,20.85012,1
20.47115,20.24793,20.01787,20.16035,20.54419,2
18.88631,17.7972,17.44326,17.17183,17.02081,0
20.01233,18.07302,16.98969,16.55159,16.19757,0
18.99783,18.09353,17.76071,17.50889,17.38161,0
22.25059,22.15243,21.91589,21.84671,20.88146,1
20.44093,18.4455,17.35384,16.9149,16.61433,0
18.34176,16.46941,16.05954,15.56964,15.43964,0
22.60076,23.49376,22.10333,20.79931,19.93981,1
20.94891,20.3795,20.20831,20.11964,19.86043,2
